county,state,region,media_market,reg_16,reg_18,reg_20,r16,d16,r18,d18,d20,r20
Darke,Ohio ,West,Dayton,"34,063","34,566","34,669","20,012","4,470","15,161","3,820","4,731","22,004"
Defiance,Ohio ,Northwest,Toledo,"25,629","26,283","26,411","11,688","5,368","8,834","4,649","5,981","13,038"
Delaware,Ohio ,Central,Columbus,"133,074","141,937","151,756","57,568","40,872","53,674","39,655","57,735","66,356"
Erie,Ohio ,Northeast,Cleveland,"53,103","54,213","54,129","19,648","16,057","14,577","14,494","17,493","22,160"
Fairfield,Ohio ,Central,Columbus,"100,115","103,718","109,176","44,314","24,881","35,445","22,702","31,224","50,797"
Fayette,Ohio ,Central,Columbus,"16,247","16,737","17,180","7,995","2,739","5,955","2,381","2,975","9,473"
Franklin,Ohio ,Central,Columbus,"843,481","881,645","882,635","199,331","351,198","166,057","310,205","409,144","211,237"
Fulton,Ohio ,Northwest,Toledo,"29,058","29,612","29,496","13,709","6,069","10,467","5,275","6,664","15,731"
Gallia,Ohio ,Southeast,Charleston,"18,831","19,362","18,982","9,822","2,628","6,820","2,707","2,990","10,645"
Geauga,Ohio ,Northeast,Cleveland,"64,856","66,730","67,969","30,227","17,569","25,468","15,887","21,201","34,143"
Greene,Ohio ,West,Dayton,"114,521","117,957","118,938","48,540","28,943","42,173","24,557","34,798","52,072"
Guernsey,Ohio ,Southeast,Wheeling,"24,186","24,521","24,549","11,445","4,359","8,242","3,965","4,577","13,407"
Hamilton,Ohio ,Southwest,Cincinnati,"580,341","597,883","600,386","173,665","215,719","148,272","181,979","246,266","177,886"
Hancock,Ohio ,Northwest,Toledo,"50,411","51,652","51,714","24,183","9,609","19,112","8,427","11,757","26,310"
Hardin,Ohio ,Central,Columbus,"18,035","18,355","18,211","8,717","2,920","6,309","2,714","3,062","9,949"
Harrison,Ohio ,Southeast,Wheeling,"10,056","10,277","10,205","5,098","1,688","3,851","1,780","1,768","5,792"
Henry,Ohio ,Northwest,Toledo,"19,315","19,543","19,710","9,301","3,756","7,255","3,091","4,062","10,479"
Highland,Ohio ,Southwest,Cincinnati,"27,621","27,978","27,351","14,020","3,773","9,942","3,222","3,799","15,678"
Hocking,Ohio ,Central,Columbus,"18,444","18,653","18,645","8,497","3,775","5,988","3,604","3,880","9,737"
Holmes,Ohio ,Northeast,Cleveland,"17,938","18,113","18,286","8,720","1,788","7,031","1,595","1,994","10,796"
Huron,Ohio ,Northeast,Cleveland,"35,732","36,408","36,886","16,226","7,192","11,536","6,517","7,759","18,956"
Jackson,Ohio ,Southeast,Charleston,"21,235","21,501","21,013","9,949","3,226","6,913","3,047","3,311","11,309"
